age,educationyears,sex,hoursperweek,incomeUSD
39,13,1,40,43747
50,13,1,13,38907
38,9,1,40,25055
53,7,1,40,26733
28,13,0,40,23429
37,14,0,40,36970
49,5,0,16,45531
52,9,1,45,103612
31,14,0,50,64478
42,13,1,40,87200
37,10,1,80,167514
30,13,1,40,189843
23,13,0,30,35813
32,12,1,50,22373
40,11,1,40,115887
34,4,1,45,26294
25,9,1,35,36496
32,9,1,40,21612
38,7,1,50,23383
43,14,0,45,137281
40,16,1,60,96050
54,9,0,20,45278
35,5,1,40,37318
43,7,1,40,46082
59,9,0,40,43226
56,13,1,40,178573
19,9,1,40,20810
54,10,1,60,134092
39,9,1,80,22624
49,9,1,40,34644
23,12,1,52,29433
20,10,1,44,34800
45,13,1,40,40889
30,10,1,40,43361
22,10,1,15,26573
48,7,1,40,49183
21,10,1,40,32691
19,9,0,25,42796
31,10,1,38,183292
48,12,1,40,49291
31,5,1,43,31109
53,13,1,40,21545
24,13,1,50,36484
49,9,0,40,40078
25,9,1,35,26816
57,13,1,40,59836
53,9,1,38,31976
44,14,0,40,26595
41,11,1,40,48577
29,11,1,43,40118
25,10,0,40,41714
18,9,0,30,47875
47,15,0,60,144695
50,13,1,55,123893
47,9,1,60,32786
43,10,1,40,68050
46,3,1,40,38617
35,11,1,40,45529
41,9,1,48,48556
30,9,1,40,38252
30,13,1,40,30820
32,4,1,40,21248
48,9,1,40,43374
42,16,1,45,151317
29,10,1,58,22193
36,9,1,40,45469
28,10,0,40,41766
53,9,0,40,111034
49,10,1,50,101075
25,10,1,40,42975
19,10,1,32,41013
31,13,0,40,33571
29,13,1,70,190337
23,10,1,40,23773
79,10,1,20,49908
27,9,1,40,34334
40,12,1,40,47470
67,6,1,2,40188
18,7,0,22,44387
31,4,1,40,40938
18,9,1,30,33856
52,13,1,40,38723
46,9,0,40,47834
59,9,1,48,21240
44,9,0,40,138270
53,9,0,35,37127
49,9,1,40,122663
33,14,1,50,23141
30,5,1,40,27950
43,16,0,50,82184
57,11,1,40,27477
37,10,0,40,25611
28,10,0,25,33165
30,9,0,35,24504
34,13,1,40,155965
29,10,1,50,41347
