Area Name,Area ID,Park Name,Park Name,Squirrel ID,Primary Fur Color,Primary Fur Color,Highlights in Fur Color,Highlights in Fur Color,Squirrel Latitude (DD.DDDDDD),Squirrel Longitude (-DD.DDDDDD)
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-13,Gray,3,Black,1,40.75382,-73.9758
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-14,Gray,3,Black,1,40.75382,-73.9758
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-15,Gray,3,Black,1,40.75382,-73.9758
UPPER MANHATTAN,A,Fort Tryon Park,4,A-01-11,Gray,3,Black,1,40.725308,-73.942789
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-02,Black,1,Black,1,40.860225,-73.933143
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-08,Black,1,Black,1,40.733575,-73.984391
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-02,Black,1,Black,1,40.846197,-73.941026
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-11,Black,1,Black,1,40.846197,-73.941026
UPPER MANHATTAN,A,St. Nicholas Park,14,A-04-15,Gray,3,Black,1,40.733501,-73.984417
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-03,Black,1,Black,1,40.725511,-73.943448
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-48,Black,1,Black,1,40.734314,-73.984118
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-49,Black,1,Black,1,40.720372,-73.984231
CENTRAL MANHATTAN,B,Tompkins Square Park,17,B-11-51,Black,1,Black,1,40.734383,-73.952326
CENTRAL MANHATTAN,B,Union Square Park,18,B-08-08,Gray,3,Black,1,40.733648,-73.984638
LOWER MANHATTAN,C,Battery Park,1,C-20-01,Gray,3,Cinnamon,2,40.725478,-73.944113
LOWER MANHATTAN,C,Battery Park,1,C-20-14,Gray,3,Cinnamon,2,40.725413,-73.943984
LOWER MANHATTAN,C,Battery Park,1,C-20-19,Gray,3,Cinnamon,2,40.722039,-73.952796
LOWER MANHATTAN,C,Battery Park,1,C-20-24,Gray,3,Cinnamon,2,40.76.005,-73.9648
LOWER MANHATTAN,C,Battery Park,1,C-20-25,Gray,3,Cinnamon,2,40.76.006,-73.9648
LOWER MANHATTAN,C,Battery Park,1,C-20-26,Gray,3,Cinnamon,2,40.76.007,-73.9648
LOWER MANHATTAN,C,City Hall Park,2,C-19-06,Gray,3,Cinnamon,2,40.712938,-74.005152
LOWER MANHATTAN,C,City Hall Park,2,C-19-07,Gray,3,Cinnamon,2,40.712938,-74.005152
LOWER MANHATTAN,C,Columbus Park,21,C-16-01,Gray,3,Cinnamon,2,40.720488,-73.952806
LOWER MANHATTAN,C,Columbus Park,21,C-16-02,Gray,3,Cinnamon,2,40.73566,-73.990351
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-04,Gray,3,Cinnamon,2,40.841217,-73.934714
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-05,Gray,3,Cinnamon,2,40.817593,-73.948855
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-09,Gray,3,Cinnamon,2,40.722966,-73.951987
UPPER MANHATTAN,A,Fort Tryon Park,4,A-01-05,Gray,3,Cinnamon,2,40.74189,-73.9664
UPPER MANHATTAN,A,Fort Tryon Park,4,A-01-06,Gray,3,Cinnamon,2,40.74189,-73.9664
UPPER MANHATTAN,A,Highbridge Park,5,A-03-01,Gray,3,Cinnamon,2,40.804912,-73.94408
UPPER MANHATTAN,A,Highbridge Park,5,A-03-05,Gray,3,Cinnamon,2,40.804729,-73.944053
UPPER MANHATTAN,A,Highbridge Park,5,A-03-07,Gray,3,Cinnamon,2,40.841204,-73.935434
UPPER MANHATTAN,A,Highbridge Park,5,A-03-08,Gray,3,Cinnamon,2,40.713276,-74.006323
UPPER MANHATTAN,A,Highbridge Park,5,A-03-09,Gray,3,Cinnamon,2,40.703882,-74.015955
